Date	Paper	Topic	Subtopic (Granular)	Reference	Task Type	PYQ Weightage	Daily Answer Practice	Status	PYQ Mapping	2026 Priority	Keywords / Model Points	Revision Tags (D1/D7/D21)
2026-06-03	GS-I	Geography	Oceanic resources of India, fisheries	NCERT	Study	Medium	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	High	Add 5-7 keywords after study	D+1, D+7, D+21
2026-06-04	GS-I	Geography	Migration & refugees; borders & frontiers (India)	Current + NCERT	Study	Medium	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	High	Add 5-7 keywords after study	D+1, D+7, D+21
2026-06-05	GS-I	Geography	Population & settlements, Smart Cities/Villages	NCERT	Study	Medium	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	High	Add 5-7 keywords after study	D+1, D+7, D+21
2026-06-06	All	Revision + PYQ + Answer Writing	Weekly consolidation, D+1/D+7 spaced revision, 2-3 answers	Notes + PYQ	Revision	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-06-07	GS-II	Polity	Constitution: history, features, basic structure	M Laxmikanth	Study	High	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Very High	Add 5-7 keywords after study	D+1, D+7, D+21
2026-06-08	GS-II	Polity	Amendments; SC role in basic structure	M Laxmikanth	Study	High	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Very High	Add 5-7 keywords after study	D+1, D+7, D+21
2026-06-09	GS-II	Polity	Union-State relations, federal issues	M Laxmikanth	Study	High	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Very High	Add 5-7 keywords after study	D+1, D+7, D+21
2026-06-10	GS-II	Polity	Finance Commission; fiscal federalism	M Laxmikanth	Study	High	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Very High	Add 5-7 keywords after study	D+1, D+7, D+21
2026-06-11	GS-II	Polity	Separation of powers; ADR mechanisms	M Laxmikanth	Study	High	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Very High	Add 5-7 keywords after study	D+1, D+7, D+21
2026-06-12	GS-II	Polity	Comparison: India vs USA/UK	M Laxmikanth	Study	High	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Very High	Add 5-7 keywords after study	D+1, D+7, D+21
2026-06-13	GS-II	Polity	Parliament: structure, powers, privileges	M Laxmikanth	Study	High	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Very High	Add 5-7 keywords after study	D+1, D+7, D+21
2026-06-14	GS-II	Polity	Executive: President, PM, CoM	M Laxmikanth	Study	High	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Very High	Add 5-7 keywords after study	D+1, D+7, D+21
2026-06-15	GS-II	Polity	Judiciary: structure, PIL	M Laxmikanth	Study	High	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Very High	Add 5-7 keywords after study	D+1, D+7, D+21
2026-06-16	GS-II	Polity	Representation of People Act	M Laxmikanth	Study	High	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Very High	Add 5-7 keywords after study	D+1, D+7, D+21
2026-06-17	GS-II	Polity	Constitutional bodies: EC, CAG, UPSC	M Laxmikanth	Study	High	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Very High	Add 5-7 keywords after study	D+1, D+7, D+21
2026-06-18	GS-II	Polity	Statutory/quasi-judicial bodies; NITI Aayog	M Laxmikanth + Current	Study	High	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Very High	Add 5-7 keywords after study	D+1, D+7, D+21
2026-06-19	GS-II	Governance	Policies, schemes, ICT in governance	Newspaper	Study	High	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Very High	Add 5-7 keywords after study	D+1, D+7, D+21
2026-06-20	GS-II	Governance	NGOs, SHGs, stakeholders	Current	Study	High	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Very High	Add 5-7 keywords after study	D+1, D+7, D+21
2026-06-21	GS-II	Governance	Welfare schemes for vulnerable sections	Current	Study	High	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Very High	Add 5-7 keywords after study	D+1, D+7, D+21
2026-06-22	GS-II	Governance	Social sector: health, education, HR	Current	Study	High	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Very High	Add 5-7 keywords after study	D+1, D+7, D+21
2026-06-23	GS-II	Governance	Poverty, hunger and polity implications	Current	Study	High	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Very High	Add 5-7 keywords after study	D+1, D+7, D+21
2026-06-24	GS-II	Governance	Transparency, accountability, e-governance, citizen charters	ARC	Study	High	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Very High	Add 5-7 keywords after study	D+1, D+7, D+21
2026-06-25	GS-II	Governance	Civil services role & reforms	ARC	Study	High	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Very High	Add 5-7 keywords after study	D+1, D+7, D+21
2026-06-26	GS-II	IR	India & neighbours	Newspaper	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-06-27	GS-II	IR	Global groupings, agreements	Newspaper	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-06-28	GS-II	IR	Global politics impact on India; diaspora	Newspaper	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-06-29	GS-II	IR	International institutions: UN, IMF, WB	Newspaper	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-06-30	GS-II	Current Affairs	Regional, national, international events	Newspaper	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-07-01	All	Revision + PYQ + Answer Writing	Weekly consolidation, D+1/D+7 spaced revision, 2-3 answers	Notes + PYQ	Revision	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-07-02	GS-III	Economy	Planning, NITI Aayog, SDGs	NCERT + Ramesh Singh	Study	High	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Very High	Add 5-7 keywords after study	D+1, D+7, D+21
2026-07-03	GS-III	Economy	Poverty, unemployment, inclusive growth	Ramesh Singh	Study	High	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Very High	Add 5-7 keywords after study	D+1, D+7, D+21
2026-07-04	GS-III	Economy	Budget, fiscal system	Ramesh Singh	Study	High	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Very High	Add 5-7 keywords after study	D+1, D+7, D+21
2026-07-05	GS-III	Agriculture	Crops, irrigation systems	NCERT	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-07-06	GS-III	Agriculture	MSP, subsidies, PDS, food security	Current	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-07-07	GS-III	Economy	Food processing, supply chain	Current	Study	High	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Very High	Add 5-7 keywords after study	D+1, D+7, D+21
2026-07-08	GS-III	Economy	Land reforms	NCERT	Study	High	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Very High	Add 5-7 keywords after study	D+1, D+7, D+21
2026-07-09	GS-III	Economy	Liberalization, globalization impact	Ramesh Singh	Study	High	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Very High	Add 5-7 keywords after study	D+1, D+7, D+21
2026-07-10	GS-III	Infrastructure	Energy, ports, roads, railways	Current	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-07-11	GS-III	Science & Tech	Applications in daily life	Newspaper	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-07-12	GS-III	Science & Tech	ISRO, DRDO achievements	Newspaper	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-07-13	GS-III	Science & Tech	ICT, space, biotech, nano, IPR	Newspaper	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-07-14	GS-III	Environment	Biodiversity, pollution, EIA	Shankar IAS	Study	Medium	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	High	Add 5-7 keywords after study	D+1, D+7, D+21
2026-07-15	GS-III	Disaster	Disaster management cycle	NDMA	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-07-16	GS-III	Security	Terrorism, cyber security, money laundering	Security Book	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-07-17	GS-III	Security	Internal security, insurgency, organized crime	Current	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-07-18	GS-III	Security	Security forces, defence organization	Current	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-07-19	GS-III	Agriculture	Horticulture, forestry, animal husbandry	NCERT	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-07-20	All	Revision + PYQ + Answer Writing	Weekly consolidation, D+1/D+7 spaced revision, 2-3 answers	Notes + PYQ	Revision	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-07-21	GS-IV	Ethics	Basics, determinants, consequences	Lexicon	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-07-22	GS-IV	Ethics	Human values, role of family/society	Lexicon	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-07-23	GS-IV	Ethics	Attitude, moral & political attitudes	Lexicon	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-07-24	GS-IV	Ethics	Aptitude, integrity, impartiality	Lexicon	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-07-25	GS-IV	Ethics	Emotional Intelligence	Lexicon	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-07-26	GS-IV	Ethics	Thinkers & philosophers	Lexicon	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-07-27	GS-IV	Ethics	Ethics in governance	Lexicon	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-07-28	GS-IV	Ethics	Probity, RTI, corruption	Lexicon	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-07-29	GS-IV	Ethics	Case studies practice	PYQ	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-07-30	All	Revision + PYQ + Answer Writing	Weekly consolidation, D+1/D+7 spaced revision, 2-3 answers	Notes + PYQ	Revision	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-07-31	GS-V	UP History	Ancient cities, culture	UP GK	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-08-01	GS-V	UP History	Freedom struggle role	UP GK	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-08-02	GS-V	UP Society	Culture, festivals, language	UP GK	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-08-03	GS-V	UP Polity	Governor, CM, Assembly	UP GK	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-08-04	GS-V	UP Governance	Lokayukta, RTI, e-governance	Current	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-08-05	GS-V	UP Economy	Schemes, planning	UP Economic Survey	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-08-06	GS-V	UP Security	Law & order, issues	Current	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-08-07	GS-V	UP Current	Recent issues	Monthly Magazine	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-08-08	All	Revision + PYQ + Answer Writing	Weekly consolidation, D+1/D+7 spaced revision, 2-3 answers	Notes + PYQ	Revision	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-08-09	GS-VI	UP Economy	Budget, infrastructure	UP Economic Survey	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-08-10	GS-VI	UP Economy	Trade, industries	UP GK	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-08-11	GS-VI	UP Economy	Schemes, HRD, skill	UP GK	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-08-12	GS-VI	UP Economy	Public finance, tax reforms, ODOP	UP GK	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-08-13	GS-VI	UP Energy	Renewable/non-renewable	UP GK	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-08-14	GS-VI	UP Demography	Population, census	UP GK	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-08-15	GS-VI	UP Agriculture	Commercialization, crops	UP GK	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-08-16	GS-VI	UP Geography	Climate, rivers, minerals	UP GK	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-08-17	GS-VI	UP Environment	Pollution, biodiversity	UP GK	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-08-18	GS-VI	UP Development	PPP, indices, innovation	UP GK	Study	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
2026-08-19	All	Revision + PYQ + Answer Writing	Weekly consolidation, D+1/D+7 spaced revision, 2-3 answers	Notes + PYQ	Revision	Low	Write 2 answers (150-250 words)		Check last 10 yrs PYQ	Medium	Add 5-7 keywords after study	D+1, D+7, D+21
